Row,Start,End,Launch Vehicle,Mission,Program,DurationDays,DurationHours,DurationMins,DurationSecs,,,
2091,"Wed Nov 27, 1985 00:29 UTC","Tue Dec 03, 1985 21:29:00 UTC",Atlantis,STS-61-B,Space Shuttle,06d,21h,0m,0s,,,
2083,"Sun Jan 12, 1986 11:55 UTC","Sat Jan 18, 1986 13:55:00 UTC",Columbia,STS-61-C,Space Shuttle,06d,02h,0m,0s,,,
2079,"Tue Jan 28, 1986 16:38 UTC","Tue Jan 28, 1986 16:39:13 UTC",Challenger,STS-51-L,Space Shuttle,00d,00h,01m,13s,,,
1922,"Thu Sep 29, 1988 15:37 UTC","Mon Oct 03, 1988 16:37:00 UTC",Discovery,STS-26R,Space Shuttle,04d,01h,0m,0s,,,
1913,"Fri Dec 02, 1988 14:30 UTC","Tue Dec 06, 1988 23:30:00 UTC",Atlantis,STS-27R,Space Shuttle,04d,09h,0m,0s,,,
1896,"Mon Mar 13, 1989 14:57 UTC","Sat Mar 18, 1989 13:57:00 UTC",Discovery,STS-29R,Space Shuttle,04d,23h,0m,0s,,,
1891,"Thu May 04, 1989 18:46 UTC","Mon May 08, 1989 18:46:00 UTC",Atlantis,STS-30R,Space Shuttle,04d,00h,0m,0s,,,
1877,"Tue Aug 08, 1989 12:37 UTC","Sun Aug 13, 1989 13:37:00 UTC",Columbia,STS-28R,Space Shuttle,05d,01h,0m,0s,,,
1864,"Wed Oct 18, 1989 16:53 UTC","Mon Oct 23, 1989 15:53:00 UTC",Atlantis,STS-34R,Space Shuttle,04d,23h,0m,0s,,,
1861,"Thu Nov 23, 1989 00:23 UTC","Tue Nov 28, 1989 00:23:00 UTC",Discovery,STS-33R,Space Shuttle,05d,00h,0m,0s,,,
1854,"Tue Jan 09, 1990 12:35 UTC","Sat Jan 20, 1990 09:35:00 UTC",Columbia,STS-32,Space Shuttle,10d,21h,0m,0s,,,
1838,"Wed Feb 28, 1990 07:50 UTC","Sun Mar 04, 1990 17:50:00 UTC",Atlantis,STS-36,Space Shuttle,04d,10h,0m,0s,,,
1825,"Tue Apr 24, 1990 12:33 UTC","Sun Apr 29, 1990 13:33:00 UTC",Discovery,STS-31,Space Shuttle,05d,01h,0m,0s,,,
1793,"Sat Oct 06, 1990 11:47 UTC","Wed Oct 10, 1990 13:47:00 UTC",Discovery,STS-41,Space Shuttle,04d,02h,0m,0s,,,
1787,"Thu Nov 15, 1990 23:48 UTC","Tue Nov 20, 1990 20:48:00 UTC",Atlantis,STS-38,Space Shuttle,04d,21h,0m,0s,,,
1779,"Sun Dec 02, 1990 06:49 UTC","Tue Dec 11, 1990 05:49:00 UTC",Columbia,STS-35,Space Shuttle,08d,23h,0m,0s,,,
1760,"Fri Apr 05, 1991 14:22 UTC","Thu Apr 11, 1991 13:22:00 UTC",Atlantis,STS-37,Space Shuttle,05d,23h,0m,0s,,,
